,position,description,total_price,unit_price,url,region,transit_duration_大钟寺地铁站,transit_distance_大钟寺地铁站,transit_fee_大钟寺地铁站,transit_duration_国贸大厦A座,transit_distance_国贸大厦A座,transit_fee_国贸大厦A座,driving_duration_大钟寺地铁站,driving_distance_大钟寺地铁站,driving_fee_大钟寺地铁站,driving_duration_国贸大厦A座,driving_distance_国贸大厦A座,driving_fee_国贸大厦A座
1030,甘露园西里,低楼层(共6层)2室1厅|60.85平米|南,330万,"54,232元/平",https://bj.ke.com/ershoufang/101117496665.html,ganluyuan,3550,2008,5.0,2307,273,2.0,1639,17562,49,923,3851,14
1031,康家园,高楼层(共6层)|1996年建|1室1厅|46平米|东,290万,"63,044元/平",https://bj.ke.com/ershoufang/101117376660.html,ganluyuan,4054,2070,5.0,2262,2086,3.0,1466,23131,56,1158,5860,19
1032,康家园,底层(共6层)|1996年建|1室1厅|45.47平米|东,280万,"61,580元/平",https://bj.ke.com/ershoufang/101117186916.html,ganluyuan,4054,2070,5.0,2262,2086,3.0,1466,23131,56,1158,5860,19
1033,丽景馨居,高楼层(共22层)|2001年建|1室1厅|64.03平米|东,410万,"64,033元/平",https://bj.ke.com/ershoufang/101117072833.html,ganluyuan,3665,1812,5.0,3080,651,2.0,1903,19912,57,1150,6201,20
1034,朝阳无限芳菁苑,中楼层(共14层)|2004年建|1室1厅|60.13平米|南,475万,"78,996元/平",https://bj.ke.com/ershoufang/101116779874.html,ganluyuan,3804,1975,5.0,2868,523,2.0,1740,19023,54,1277,6519,21
1035,都市经典家园,低楼层(共24层)|2003年建|1室1厅|67平米|东南,308万,"45,971元/平",https://bj.ke.com/ershoufang/101114441570.html,ganluyuan,4022,2033,5.0,2230,2049,3.0,1950,19985,57,1169,6274,20
1036,富华家园,底层(共24层)|2000年建|2室1厅|77.85平米|南,433万,"55,620元/平",https://bj.ke.com/ershoufang/101117433984.html,gaobeidian,3786,1953,5.0,2592,1993,4.0,1838,19866,57,1263,7330,22
1037,兴隆家园,高楼层(共23层)|2005年建|1室1厅|75.39平米|北,460万,"61,017元/平",https://bj.ke.com/ershoufang/101117334727.html,gaobeidian,3560,1494,5.0,1768,1510,3.0,1355,22544,66,706,7573,21
1038,富华家园,中楼层(共24层)|2000年建|1室1厅|59.23平米|西南,290万,"48,962元/平",https://bj.ke.com/ershoufang/101117328807.html,gaobeidian,3786,1953,5.0,2592,1993,4.0,1838,19866,57,1263,7330,22
1039,兴隆家园,中楼层(共6层)|2000年建|2室1厅|75.27平米|东西,499万,"66,295元/平",https://bj.ke.com/ershoufang/101117231944.html,gaobeidian,3560,1494,5.0,1768,1510,3.0,1355,22544,66,706,7573,21
