,position,description,total_price,unit_price,url,region,transit_duration_大钟寺地铁站,transit_distance_大钟寺地铁站,transit_fee_大钟寺地铁站,transit_duration_国贸大厦A座,transit_distance_国贸大厦A座,transit_fee_国贸大厦A座,driving_duration_大钟寺地铁站,driving_distance_大钟寺地铁站,driving_fee_大钟寺地铁站,driving_duration_国贸大厦A座,driving_distance_国贸大厦A座,driving_fee_国贸大厦A座
637,三丰里小区,低楼层(共18层)1室1厅|48.39平米|西,335万,"69,230元/平",https://bj.ke.com/ershoufang/101116389569.html,chaoyangmenwai1,3026,1910,4.0,1950,1272,2.0,1201,13629,37,821,3258,13
638,市场街,地下室(共6层)|1988年建|2室1厅|51.2平米|东西,320万,"62,500元/平",https://bj.ke.com/ershoufang/101116286546.html,chaoyangmenwai1,6660,1144,9.0,6905,1567,9.0,2426,42961,137,2815,44570,142
639,市场街,中楼层(共6层)1室1厅|42.35平米|东西,315万,"74,381元/平",https://bj.ke.com/ershoufang/101116198650.html,chaoyangmenwai1,6660,1144,9.0,6905,1567,9.0,2426,42961,137,2815,44570,142
640,东大桥路,底层(共5层)|1967年建|2室1厅|48.82平米|南北,378万,"77,428元/平",https://bj.ke.com/ershoufang/101116174673.html,chaoyangmenwai1,2749,1190,5.0,1227,618,2.0,1007,16890,47,401,1619,13
641,东大桥路,底层(共18层)|1991年建|2室1厅|61.52平米|东,480万,"78,024元/平",https://bj.ke.com/ershoufang/101116113957.html,chaoyangmenwai1,2749,1190,5.0,1227,618,2.0,1007,16890,47,401,1619,13
642,新中西街,中楼层(共7层)|1998年建|1室1厅|44.71平米|西南,500万,"111,832元/平",https://bj.ke.com/ershoufang/101115955654.html,chaoyangmenwai1,2506,1221,4.0,1815,1404,3.0,904,11977,37,672,4567,14
643,东大桥路,底层(共5层)|1967年建|1室1厅|43.9平米|东南,335万,"76,310元/平",https://bj.ke.com/ershoufang/101115951407.html,chaoyangmenwai1,2749,1190,5.0,1227,618,2.0,1007,16890,47,401,1619,13
644,东大桥路,中楼层(共5层)|1967年建|2室1厅|60.89平米|东西,436万,"71,605元/平",https://bj.ke.com/ershoufang/101115859316.html,chaoyangmenwai1,2749,1190,5.0,1227,618,2.0,1007,16890,47,401,1619,13
645,朝阳门南大街,高楼层(共16层)|1982年建|1室1厅|46.45平米|东,400万,"86,115元/平",https://bj.ke.com/ershoufang/101115854401.html,chaoyangmenwai1,2751,1589,4.0,2048,1088,2.0,929,13032,36,791,3906,14
646,新中西街,中楼层(共7层)|1990年建|1室1厅|44.71平米|东南,498万,"111,385元/平",https://bj.ke.com/ershoufang/101115832263.html,chaoyangmenwai1,2506,1221,4.0,1815,1404,3.0,904,11977,37,672,4567,14
647,三丰里小区,顶层(共6层)|1988年建|2室1厅|57.43平米|南北,460万,"80,098元/平",https://bj.ke.com/ershoufang/101115804683.html,chaoyangmenwai1,3026,1910,4.0,1950,1272,2.0,1201,13629,37,821,3258,13
648,天福园,底层(共6层)|1994年建|1室1厅|44.93平米|西,465万,"103,495元/平",https://bj.ke.com/ershoufang/101115798319.html,chaoyangmenwai1,3244,1818,4.0,2129,1481,2.0,1180,13565,37,465,2103,13
649,天福园,顶层(共6层)|1994年建|1室1厅|44.13平米|西,482万,"109,223元/平",https://bj.ke.com/ershoufang/101115792041.html,chaoyangmenwai1,3244,1818,4.0,2129,1481,2.0,1180,13565,37,465,2103,13
650,市场街,低楼层(共6层)2室1厅|55.2平米|东西,480万,"86,957元/平",https://bj.ke.com/ershoufang/101115613032.html,chaoyangmenwai1,6660,1144,9.0,6905,1567,9.0,2426,42961,137,2815,44570,142
651,三丰里小区,中楼层(共5层)|1978年建|2室1厅|53.84平米|南北,460万,"85,439元/平",https://bj.ke.com/ershoufang/101115527390.html,chaoyangmenwai1,3026,1910,4.0,1950,1272,2.0,1201,13629,37,821,3258,13
652,三丰里小区,低楼层(共6层)|1991年建|1室1厅|40.7平米|南,337万,"82,801元/平",https://bj.ke.com/ershoufang/101115522038.html,chaoyangmenwai1,3026,1910,4.0,1950,1272,2.0,1201,13629,37,821,3258,13
653,三丰里小区,顶层(共6层)|1989年建|2室1厅|57.23平米|南北,422万,"73,738元/平",https://bj.ke.com/ershoufang/101117033027.html,chaoyangmenwai1,3026,1910,4.0,1950,1272,2.0,1201,13629,37,821,3258,13
654,三丰里小区,地下室(共6层)|1988年建|2室1厅|51.13平米|南北,295万,"57,697元/平",https://bj.ke.com/ershoufang/101117017788.html,chaoyangmenwai1,3026,1910,4.0,1950,1272,2.0,1201,13629,37,821,3258,13
655,雅宝里社区,顶层(共6层)|1993年建|3室1厅|69.44平米|南北,496万,"71,429元/平",https://bj.ke.com/ershoufang/101117007916.html,chaoyangmenwai1,3072,1964,4.0,1889,1201,2.0,1304,13938,38,536,2344,13
