,position,description,total_price,unit_price,url,region,transit_duration_大钟寺地铁站,transit_distance_大钟寺地铁站,transit_fee_大钟寺地铁站,transit_duration_国贸大厦A座,transit_distance_国贸大厦A座,transit_fee_国贸大厦A座,driving_duration_大钟寺地铁站,driving_distance_大钟寺地铁站,driving_fee_大钟寺地铁站,driving_duration_国贸大厦A座,driving_distance_国贸大厦A座,driving_fee_国贸大厦A座
98,金隅丽景园,中楼层(共28层)2室1厅|69.34平米|东北,369万,"53,217元/平",https://bj.ke.com/ershoufang/101117388267.html,changying,3872,1315,6.0,2678,1355,5.0,2202,31429,97,1727,16545,40
99,柏林爱乐三期,低楼层(共8层)2室1厅|60.17平米|南北,370万,"61,493元/平",https://bj.ke.com/ershoufang/101117365520.html,changying,4109,1805,6.0,2915,1845,4.0,1789,29386,85,1271,13086,35
100,保利嘉园一号院,底层(共11层)2室1厅|63.27平米|南,358万,"56,583元/平",https://bj.ke.com/ershoufang/101117358286.html,changying,4275,1791,6.0,3081,1831,5.0,1987,30572,94,1604,16122,39
101,苹果派,高楼层(共12层)|2007年建|2室1厅|76.53平米|东北,475万,"62,068元/平",https://bj.ke.com/ershoufang/101117356458.html,changying,3782,1599,6.0,2588,1639,4.0,1710,29396,74,1484,13895,34
102,柏林爱乐一期,中楼层(共11层)|2002年建|1室1厅|67平米|西,398万,"59,403元/平",https://bj.ke.com/ershoufang/101117257010.html,changying,4185,1894,6.0,2991,1934,4.0,1849,27590,84,1157,12619,35
103,苹果派,顶层(共11层)1室1厅|59.86平米|南,397万,"66,322元/平",https://bj.ke.com/ershoufang/101117254793.html,changying,3782,1599,6.0,2588,1639,4.0,1710,29396,74,1484,13895,34
104,首开畅心园,低楼层(共29层)3室1厅|90.17平米|东南,405万,"44,916元/平",https://bj.ke.com/ershoufang/101117234211.html,changying,4379,1732,6.0,3185,1772,5.0,2024,31389,97,1613,16792,41
105,荟康苑,中楼层(共7层)|1996年建|2室1厅|71.96平米|北南,335万,"46,554元/平",https://bj.ke.com/ershoufang/101117210961.html,changying,4361,2099,6.0,3006,2374,4.0,1919,27740,84,1227,12769,35
106,北辰福第一号院,中楼层(共27层)|2010年建|2室1厅|87.16平米|南北,488万,"55,989元/平",https://bj.ke.com/ershoufang/101117164268.html,changying,4171,1670,6.0,2977,1710,5.0,1849,30060,92,1670,16470,38
107,富力阳光美园,高楼层(共27层)|2010年建|1室1厅|69.1平米|南,406万,"58,756元/平",https://bj.ke.com/ershoufang/101117160241.html,changying,4126,1617,6.0,2932,1657,5.0,1868,30223,93,1454,15773,38
108,金隅丽景园,高楼层(共27层)|2010年建|1室1厅|55.8平米|南,315万,"56,452元/平",https://bj.ke.com/ershoufang/101117155477.html,changying,3872,1315,6.0,2678,1355,5.0,2202,31429,97,1727,16545,40
109,保利嘉园三号院,低楼层(共29层)2室1厅|88.08平米|东南,409万,"46,436元/平",https://bj.ke.com/ershoufang/101117148566.html,changying,4358,1888,6.0,3164,1928,5.0,1921,30438,93,1539,16040,39
110,荟康苑,高楼层(共7层)|1996年建|3室2厅|102.24平米|南北,425万,"41,569元/平",https://bj.ke.com/ershoufang/101117139599.html,changying,4361,2099,6.0,3006,2374,4.0,1919,27740,84,1227,12769,35
111,北辰福第二号院,中楼层(共27层)3室1厅|87.49平米|西南北,480万,"54,864元/平",https://bj.ke.com/ershoufang/101117127758.html,changying,3738,1165,6.0,2544,1205,5.0,1930,30031,92,1620,16092,38
112,住欣家园,高楼层(共28层)2室1厅|70.62平米|东南,315万,"44,605元/平",https://bj.ke.com/ershoufang/101117123560.html,changying,4133,1445,6.0,2939,1485,5.0,2047,31035,94,1540,15740,39
113,柏林爱乐二期,低楼层(共24层)|2007年建|1室0厅|60.57平米|东南,313万,"51,676元/平",https://bj.ke.com/ershoufang/101117116773.html,changying,4100,1795,6.0,2906,1835,4.0,1964,27889,76,1229,12918,33
114,北京新天地四期,中楼层(共20层)1室2厅|77.44平米|南,476万,"61,467元/平",https://bj.ke.com/ershoufang/101117083450.html,changying,4528,2087,6.0,3126,1918,3.0,1863,29310,89,1192,14339,39
115,柏林爱乐三期,高楼层(共11层)2室1厅|66.64平米|西,419万,"62,876元/平",https://bj.ke.com/ershoufang/101117081687.html,changying,4109,1805,6.0,2915,1845,4.0,1789,29386,85,1271,13086,35
116,富力阳光美园,顶层(共27层)|2010年建|1室1厅|68.62平米|南,399万,"58,147元/平",https://bj.ke.com/ershoufang/101117074248.html,changying,4126,1617,6.0,2932,1657,5.0,1868,30223,93,1454,15773,38
117,柏林爱乐三期,中楼层(共11层)|2007年建|1室1厅|63.94平米|南,423万,"66,156元/平",https://bj.ke.com/ershoufang/101117041434.html,changying,4109,1805,6.0,2915,1845,4.0,1789,29386,85,1271,13086,35
118,首开畅心园,顶层(共29层)|2010年建|2室1厅|71.25平米|东北,275万,"38,597元/平",https://bj.ke.com/ershoufang/101117037054.html,changying,4379,1732,6.0,3185,1772,5.0,2024,31389,97,1613,16792,41
119,柏林爱乐二期,中楼层(共22层)|2005年建|2室1厅|93.28平米|东北,495万,"53,067元/平",https://bj.ke.com/ershoufang/101117014757.html,changying,4100,1795,6.0,2906,1835,4.0,1964,27889,76,1229,12918,33
120,管庄北二里,高楼层(共28层)|2013年建|2室1厅|72.89平米|南,430万,"58,994元/平",https://bj.ke.com/ershoufang/101116943289.html,changying,4384,1918,6.0,3190,1958,5.0,1856,29745,86,1262,13227,36
121,柏林爱乐一期,中楼层(共11层)1室1厅|65.91平米|东,408万,"61,903元/平",https://bj.ke.com/ershoufang/101116916088.html,changying,4185,1894,6.0,2991,1934,4.0,1849,27590,84,1157,12619,35
122,金隅丽景园,中楼层(共28层)|2009年建|2室1厅|59.42平米|南北,368万,"61,933元/平",https://bj.ke.com/ershoufang/101116892037.html,changying,3872,1315,6.0,2678,1355,5.0,2202,31429,97,1727,16545,40
123,柏林爱乐二期,顶层(共11层)|2004年建|2室1厅|67.26平米|东,408万,"60,661元/平",https://bj.ke.com/ershoufang/101116892036.html,changying,4100,1795,6.0,2906,1835,4.0,1964,27889,76,1229,12918,33
124,苹果派,地下室(共12层)|2007年建|1室0厅|45.56平米|南,130万,"28,534元/平",https://bj.ke.com/ershoufang/101116866857.html,changying,3782,1599,6.0,2588,1639,4.0,1710,29396,74,1484,13895,34
125,北京新天地四期,高楼层(共26层)1室1厅|65.96平米|西南,421万,"63,827元/平",https://bj.ke.com/ershoufang/101116836333.html,changying,4528,2087,6.0,3126,1918,3.0,1863,29310,89,1192,14339,39
126,北京新天地三期,低楼层(共28层)|2009年建|1室2厅|68.18平米|北,365万,"53,535元/平",https://bj.ke.com/ershoufang/101116793737.html,changying,4422,1709,6.0,2720,1445,3.0,1746,28854,88,1095,13883,38
127,北京新天地四期,中楼层(共20层)1室1厅|68.55平米|东北,428万,"62,437元/平",https://bj.ke.com/ershoufang/101116771005.html,changying,4528,2087,6.0,3126,1918,3.0,1863,29310,89,1192,14339,39
128,首开畅心园,中楼层(共29层)|2010年建|1室1厅|50.74平米|南,248万,"48,877元/平",https://bj.ke.com/ershoufang/101116712219.html,changying,4379,1732,6.0,3185,1772,5.0,2024,31389,97,1613,16792,41
129,北京新天地三期,低楼层(共28层)1室1厅|70.45平米|东北,399万,"56,636元/平",https://bj.ke.com/ershoufang/101116675996.html,changying,4422,1709,6.0,2720,1445,3.0,1746,28854,88,1095,13883,38
130,住欣家园,中楼层(共26层)2室1厅|70.91平米|东,308万,"43,436元/平",https://bj.ke.com/ershoufang/101116671251.html,changying,4133,1445,6.0,2939,1485,5.0,2047,31035,94,1540,15740,39
131,金隅丽景园,低楼层(共28层)|2009年建|1室1厅|49.77平米|西,230万,"46,213元/平",https://bj.ke.com/ershoufang/101116659952.html,changying,3872,1315,6.0,2678,1355,5.0,2202,31429,97,1727,16545,40
132,首开畅心园,高楼层(共28层)1室1厅|51.22平米|南,252万,"49,200元/平",https://bj.ke.com/ershoufang/101116652392.html,changying,4379,1732,6.0,3185,1772,5.0,2024,31389,97,1613,16792,41
133,管庄北二里,中楼层(共28层)|2013年建|1室1厅|49.29平米|东西北,290万,"58,836元/平",https://bj.ke.com/ershoufang/101116600818.html,changying,4384,1918,6.0,3190,1958,5.0,1856,29745,86,1262,13227,36
134,富力阳光美园,高楼层(共27层)|2010年建|3室1厅|89.69平米|西北,485万,"54,076元/平",https://bj.ke.com/ershoufang/101116538602.html,changying,4126,1617,6.0,2932,1657,5.0,1868,30223,93,1454,15773,38
135,柏林爱乐二期,中楼层(共21层)|2005年建|1室2厅|71.69平米|西北,382万,"53,285元/平",https://bj.ke.com/ershoufang/101116458519.html,changying,4100,1795,6.0,2906,1835,4.0,1964,27889,76,1229,12918,33
136,柏林爱乐二期,中楼层(共11层)|2004年建|1室1厅|65.68平米|东西,390万,"59,379元/平",https://bj.ke.com/ershoufang/101116428858.html,changying,4100,1795,6.0,2906,1835,4.0,1964,27889,76,1229,12918,33
137,首开畅心园,低楼层(共29层)2室1厅|67.82平米|南,305万,"44,972元/平",https://bj.ke.com/ershoufang/101116413751.html,changying,4379,1732,6.0,3185,1772,5.0,2024,31389,97,1613,16792,41
138,管庄北二里,中楼层(共28层)|2013年建|2室1厅|67.69平米|南,420万,"62,048元/平",https://bj.ke.com/ershoufang/101116409065.html,changying,4384,1918,6.0,3190,1958,5.0,1856,29745,86,1262,13227,36
139,苹果派,中楼层(共12层)|2007年建|1室0厅|37.88平米|北,260万,"68,638元/平",https://bj.ke.com/ershoufang/101116362612.html,changying,3782,1599,6.0,2588,1639,4.0,1710,29396,74,1484,13895,34
