,position,description,total_price,unit_price,url,region,transit_duration_大钟寺地铁站,transit_distance_大钟寺地铁站,transit_fee_大钟寺地铁站,transit_duration_国贸大厦A座,transit_distance_国贸大厦A座,transit_fee_国贸大厦A座,driving_duration_大钟寺地铁站,driving_distance_大钟寺地铁站,driving_fee_大钟寺地铁站,driving_duration_国贸大厦A座,driving_distance_国贸大厦A座,driving_fee_国贸大厦A座
1223,烟厂宿舍,中楼层(共7层)|1998年建|2室1厅|66.03平米|南北,349万,"52,855元/平",https://bj.ke.com/ershoufang/101117262185.html,guanzhuang,4260,1731,6.0,2469,1747,4.0,1820,27120,82,1129,12149,34
1224,管庄西里,中楼层(共6层)2室1厅|103.87平米|南北,440万,"42,361元/平",https://bj.ke.com/ershoufang/101117257925.html,guanzhuang,4550,1963,6.0,2848,1979,4.0,1905,27927,85,1286,12956,35
1225,瑞祥里,高楼层(共6层)|2021年建|2室1厅|87.75平米|南北,350万,"39,887元/平",https://bj.ke.com/ershoufang/101117198234.html,guanzhuang,4924,2081,6.0,2748,1277,3.0,1849,29641,91,1187,14670,39
1226,京通苑,低楼层(共18层)|2003年建|2室1厅|90平米|西南,435万,"48,334元/平",https://bj.ke.com/ershoufang/101117191019.html,guanzhuang,3988,1202,6.0,2196,1218,4.0,1793,28998,88,1125,14027,36
1227,京通苑,低楼层(共24层)|1998年建|1室1厅|52.59平米|北,259万,"49,249元/平",https://bj.ke.com/ershoufang/101117179144.html,guanzhuang,3988,1202,6.0,2196,1218,4.0,1793,28998,88,1125,14027,36
1228,华龙美树,高楼层(共19层)|2005年建|1室1厅|60.28平米|南,309万,"51,261元/平",https://bj.ke.com/ershoufang/101117085089.html,guanzhuang,3786,1178,6.0,1995,1194,4.0,1707,26813,81,1034,11842,33
1229,建东苑,中楼层(共6层)|2000年建|2室1厅|74.55平米|南北,370万,"49,632元/平",https://bj.ke.com/ershoufang/101117069538.html,guanzhuang,4750,2553,6.0,2993,2358,4.0,1900,27426,83,1167,12455,34
1230,管庄西里,低楼层(共24层)|2002年建|3室1厅|106.06平米|西北,398万,"37,526元/平",https://bj.ke.com/ershoufang/101117055901.html,guanzhuang,4550,1963,6.0,2848,1979,4.0,1905,27927,85,1286,12956,35
1231,京通苑,中楼层(共24层)|1998年建|1室1厅|67.94平米|东南,318万,"46,807元/平",https://bj.ke.com/ershoufang/101117050750.html,guanzhuang,3988,1202,6.0,2196,1218,4.0,1793,28998,88,1125,14027,36
1232,建东苑,低楼层(共6层)2室1厅|68.76平米|西北,307万,"44,649元/平",https://bj.ke.com/ershoufang/101117046843.html,guanzhuang,4750,2553,6.0,2993,2358,4.0,1900,27426,83,1167,12455,34
1233,建东苑,中楼层(共6层)|2000年建|2室2厅|71.15平米|东西,308万,"43,289元/平",https://bj.ke.com/ershoufang/101116972552.html,guanzhuang,4750,2553,6.0,2993,2358,4.0,1900,27426,83,1167,12455,34
1234,管庄西里,中楼层(共6层)|1997年建|2室2厅|72平米|南,333万,"46,250元/平",https://bj.ke.com/ershoufang/101116943393.html,guanzhuang,4550,1963,6.0,2848,1979,4.0,1905,27927,85,1286,12956,35
1235,管庄西里,高楼层(共6层)|1997年建|2室1厅|61平米|南北,309万,"50,656元/平",https://bj.ke.com/ershoufang/101116889105.html,guanzhuang,4550,1963,6.0,2848,1979,4.0,1905,27927,85,1286,12956,35
1236,汇鸿家园,中楼层(共11层)|2005年建|2室1厅|77.57平米|南北,399万,"51,438元/平",https://bj.ke.com/ershoufang/101116881787.html,guanzhuang,4303,2032,6.0,3145,2536,4.0,1817,27476,83,1128,12505,34
1237,京通苑,中楼层(共24层)|2003年建|1室1厅|64.23平米|南,319万,"49,666元/平",https://bj.ke.com/ershoufang/101116879987.html,guanzhuang,3988,1202,6.0,2196,1218,4.0,1793,28998,88,1125,14027,36
1238,汇鸿家园,高楼层(共9层)|2006年建|2室1厅|70.88平米|东南,366万,"51,637元/平",https://bj.ke.com/ershoufang/101116847992.html,guanzhuang,4303,2032,6.0,3145,2536,4.0,1817,27476,83,1128,12505,34
1239,京通苑,高楼层(共6层)|1997年建|2室1厅|75.24平米|南北,351万,"46,651元/平",https://bj.ke.com/ershoufang/101116797589.html,guanzhuang,3988,1202,6.0,2196,1218,4.0,1793,28998,88,1125,14027,36
1240,尚东阁,高楼层(共19层)3室1厅|92.27平米|南北,449万,"48,662元/平",https://bj.ke.com/ershoufang/101116795279.html,guanzhuang,4637,2170,6.0,2845,2186,4.0,1912,28075,85,1197,13104,34
1241,管庄西里,低楼层(共7层)|1999年建|2室1厅|65.18平米|南北,305万,"46,794元/平",https://bj.ke.com/ershoufang/101116770213.html,guanzhuang,4550,1963,6.0,2848,1979,4.0,1905,27927,85,1286,12956,35
1242,京通苑,底层(共18层)|2002年建|2室1厅|81.14平米|西,380万,"46,833元/平",https://bj.ke.com/ershoufang/101116728843.html,guanzhuang,3988,1202,6.0,2196,1218,4.0,1793,28998,88,1125,14027,36
1243,管庄东里,底层(共3层)2室1厅|59.73平米|南北,205万,"34,322元/平",https://bj.ke.com/ershoufang/101116691670.html,guanzhuang,4811,2417,6.0,3594,2849,4.0,2059,28719,87,1345,13748,35
1244,管庄西里,中楼层(共6层)|1997年建|3室1厅|66.6平米|南西北,318万,"47,748元/平",https://bj.ke.com/ershoufang/101116669443.html,guanzhuang,4550,1963,6.0,2848,1979,4.0,1905,27927,85,1286,12956,35
1245,管庄西里,高楼层(共24层)|2000年建|2室1厅|82.73平米|西,349万,"42,186元/平",https://bj.ke.com/ershoufang/101116629421.html,guanzhuang,4550,1963,6.0,2848,1979,4.0,1905,27927,85,1286,12956,35
1246,瑞祥里,中楼层(共6层)2室1厅|80.27平米|南北,326万,"40,613元/平",https://bj.ke.com/ershoufang/101116594291.html,guanzhuang,4924,2081,6.0,2748,1277,3.0,1849,29641,91,1187,14670,39
1247,京通苑,中楼层(共24层)|1998年建|2室1厅|90.45平米|南西,405万,"44,777元/平",https://bj.ke.com/ershoufang/101116592802.html,guanzhuang,3988,1202,6.0,2196,1218,4.0,1793,28998,88,1125,14027,36
1248,烟厂宿舍,底层(共6层)|1986年建|2室1厅|61.24平米|南北,309万,"50,458元/平",https://bj.ke.com/ershoufang/101116551481.html,guanzhuang,4260,1731,6.0,2469,1747,4.0,1820,27120,82,1129,12149,34
1249,京通苑,低楼层(共24层)|1998年建|2室1厅|68.23平米|东南,269万,"39,426元/平",https://bj.ke.com/ershoufang/101116439471.html,guanzhuang,3988,1202,6.0,2196,1218,4.0,1793,28998,88,1125,14027,36
